Time, Delay, Readings, Measure
14:47:38:101, 
14:47:38:101, 1,      1,      -33.72
14:47:38:101, 1,      1,      -60.49
14:47:38:105, 1,      1,      -2.26
14:47:38:116, 1,      2,      2.35
14:47:38:138, 1,      2,      2.43
14:47:38:160, 1,      2,      -12.78
14:47:38:183, 1,      3,      5.56
14:47:38:216, 1,      3,      21.62
14:47:38:250, 1,      3,      -17.49
14:47:38:283, 1,      4,      -6.74
14:47:38:328, 1,      4,      0.30
14:47:38:372, 1,      4,      -12.04
14:47:38:417, 1,      5,      30.88
14:47:38:473, 1,      5,      -4.17
14:47:38:529, 1,      5,      -10.56
14:47:38:584, 1,      6,      -2.52
14:47:38:651, 1,      6,      -10.36
14:47:38:719, 1,      6,      -29.92
14:47:38:785, 1,      7,      -8.71
14:47:38:863, 1,      7,      -4.76
14:47:38:941, 1,      7,      9.15
14:47:39:023, 1,      8,      1.50
14:47:39:108, 1,      8,      -0.30
14:47:39:197, 1,      8,      -14.12
14:47:39:287, 1,      9,      -7.47
14:47:39:400, 1,      9,      10.67
14:47:39:487, 1,      9,      18.12
14:47:39:587, 1,      10,     -14.60
14:47:39:699, 1,      10,     -8.26
14:47:39:810, 1,      10,     6.24
14:47:39:921, 1,      11,     -19.32
14:47:40:044, 1,      11,     -11.19
14:47:40:167, 1,      11,     1.63
14:47:40:289, 1,      12,     -1.52
14:47:40:423, 1,      12,     -9.36
14:47:40:557, 1,      12,     5.19
14:47:40:691, 1,      13,     -4.15
14:47:40:835, 1,      13,     -7.15
14:47:40:980, 1,      13,     -5.54
14:47:41:125, 1,      14,     -3.43
14:47:41:282, 1,      14,     7.28
14:47:41:437, 1,      14,     11.80
14:47:41:593, 1,      15,     -4.08
14:47:41:761, 1,      15,     4.98
14:47:41:927, 1,      15,     -3.28
14:47:42:095, 
14:47:42:095, 2,      1,      -18.60
14:47:42:106, 2,      1,      -8.34
14:47:42:118, 2,      1,      12.69
14:47:42:128, 2,      2,      11.56
14:47:42:152, 2,      2,      -30.33
14:47:42:173, 2,      2,      36.59
14:47:42:195, 2,      3,      28.96
14:47:42:228, 2,      3,      -0.07
14:47:42:262, 2,      3,      -19.75
14:47:42:295, 2,      4,      6.43
14:47:42:340, 2,      4,      -24.94
14:47:42:384, 2,      4,      -37.03
14:47:42:429, 2,      5,      -0.35
14:47:42:485, 2,      5,      -5.95
14:47:42:540, 2,      5,      -14.32
14:47:42:596, 2,      6,      2.37
14:47:42:670, 2,      6,      -4.15
14:47:42:730, 2,      6,      23.97
14:47:42:797, 2,      7,      0.83
14:47:42:875, 2,      7,      5.02
14:47:42:953, 2,      7,      -4.91
14:47:43:031, 2,      8,      23.49
14:47:43:120, 2,      8,      -13.28
14:47:43:209, 2,      8,      -6.67
14:47:43:298, 2,      9,      10.60
14:47:43:399, 2,      9,      -2.54
14:47:43:499, 2,      9,      -23.58
14:47:43:599, 2,      10,     -17.45
14:47:43:722, 2,      10,     -4.56
14:47:43:822, 2,      10,     0.91
14:47:43:933, 2,      11,     2.80
14:47:44:056, 2,      11,     0.78
14:47:44:179, 2,      11,     0.37
14:47:44:301, 2,      12,     -1.28
14:47:44:435, 2,      12,     3.41
14:47:44:569, 2,      12,     14.38
14:47:44:702, 2,      13,     1.30
14:47:44:847, 2,      13,     5.63
14:47:44:992, 2,      13,     3.04
14:47:45:137, 2,      14,     -15.36
14:47:45:295, 2,      14,     2.56
14:47:45:449, 2,      14,     -10.76
14:47:45:605, 2,      15,     -2.35
14:47:45:772, 2,      15,     6.71
14:47:45:940, 2,      15,     10.34
14:47:46:107, 
14:47:46:107, 4,      1,      -10.78
14:47:46:118, 4,      1,      -7.30
14:47:46:130, 4,      1,      -23.99
14:47:46:142, 4,      2,      -8.34
14:47:46:162, 4,      2,      6.69
14:47:46:185, 4,      2,      15.73
14:47:46:207, 4,      3,      0.63
14:47:46:240, 4,      3,      -11.76
14:47:46:274, 4,      3,      7.19
14:47:46:307, 4,      4,      15.25
14:47:46:352, 4,      4,      -2.30
14:47:46:396, 4,      4,      -7.69
14:47:46:441, 4,      5,      -6.74
14:47:46:497, 4,      5,      -5.98
14:47:46:552, 4,      5,      -4.80
14:47:46:608, 4,      6,      25.20
14:47:46:675, 4,      6,      -3.80
14:47:46:742, 4,      6,      -4.80
14:47:46:809, 4,      7,      -4.80
14:47:46:887, 4,      7,      -5.54
14:47:46:965, 4,      7,      6.95
14:47:47:043, 4,      8,      9.39
14:47:47:132, 4,      8,      -4.45
14:47:47:221, 4,      8,      -3.76
14:47:47:310, 4,      9,      -12.06
14:47:47:411, 4,      9,      3.85
14:47:47:511, 4,      9,      -6.65
14:47:47:611, 4,      10,     4.54
14:47:47:723, 4,      10,     7.43
14:47:47:834, 4,      10,     13.54
14:47:47:946, 4,      11,     14.08
14:47:48:068, 4,      11,     -0.74
14:47:48:191, 4,      11,     -4.80
14:47:48:313, 4,      12,     0.89
14:47:48:469, 4,      12,     -2.54
14:47:48:581, 4,      12,     -6.71
14:47:48:715, 4,      13,     -5.54
14:47:48:859, 4,      13,     10.04
14:47:49:004, 4,      13,     -5.39
14:47:49:149, 4,      14,     -6.82
14:47:49:305, 4,      14,     7.32
14:47:49:461, 4,      14,     -21.23
14:47:49:617, 4,      15,     6.71
14:47:49:784, 4,      15,     6.15
14:47:49:956, 4,      15,     1.26
14:47:50:119, 
14:47:50:119, 8,      1,      7.47
14:47:50:134, 8,      1,      -15.64
14:47:50:142, 8,      1,      -19.99
14:47:50:159, 8,      2,      -1.39
14:47:50:174, 8,      2,      5.82
14:47:50:197, 8,      2,      -28.33
14:47:50:219, 8,      3,      -8.52
14:47:50:252, 8,      3,      -30.77
14:47:50:286, 8,      3,      -20.34
14:47:50:319, 8,      4,      -6.21
14:47:50:364, 8,      4,      28.33
14:47:50:408, 8,      4,      -0.13
14:47:50:453, 8,      5,      11.08
14:47:50:509, 8,      5,      -0.30
14:47:50:564, 8,      5,      -12.06
14:47:50:620, 8,      6,      3.56
14:47:50:687, 8,      6,      -17.36
14:47:50:754, 8,      6,      -2.37
14:47:50:821, 8,      7,      -0.07
14:47:50:899, 8,      7,      -3.24
14:47:50:977, 8,      7,      0.00
14:47:51:062, 8,      8,      -10.41
14:47:51:144, 8,      8,      -13.36
14:47:51:233, 8,      8,      0.59
14:47:51:322, 8,      9,      -5.30
14:47:51:423, 8,      9,      -11.69
14:47:51:523, 8,      9,      -12.32
14:47:51:623, 8,      10,     -3.56
14:47:51:735, 8,      10,     12.56
14:47:51:846, 8,      10,     -0.89
14:47:51:958, 8,      11,     -10.76
14:47:52:097, 8,      11,     10.28
14:47:52:203, 8,      11,     -2.80
14:47:52:326, 8,      12,     0.72
14:47:52:459, 8,      12,     -5.80
14:47:52:593, 8,      12,     20.49
14:47:52:727, 8,      13,     19.69
14:47:52:872, 8,      13,     18.45
14:47:53:016, 8,      13,     -20.73
14:47:53:161, 8,      14,     0.48
14:47:53:317, 8,      14,     22.60
14:47:53:473, 8,      14,     6.84
14:47:53:630, 8,      15,     -3.91
14:47:53:797, 8,      15,     -7.39
14:47:53:964, 8,      15,     11.26
14:47:54:131, 
14:47:54:131, 16,     1,      -18.25
14:47:54:147, 16,     1,      -9.73
14:47:54:181, 16,     1,      12.34
14:47:54:182, 16,     2,      -12.52
14:47:54:198, 16,     2,      -9.39
14:47:54:220, 16,     2,      15.99
14:47:54:242, 16,     3,      7.19
14:47:54:276, 16,     3,      -21.10
14:47:54:309, 16,     3,      8.06
14:47:54:342, 16,     4,      1.22
14:47:54:387, 16,     4,      -9.30
14:47:54:432, 16,     4,      9.56
14:47:54:483, 16,     5,      0.83
14:47:54:532, 16,     5,      5.39
14:47:54:588, 16,     5,      -7.13
14:47:54:644, 16,     6,      -22.77
14:47:54:710, 16,     6,      -15.99
14:47:54:777, 16,     6,      -7.02
14:47:54:844, 16,     7,      -12.39
14:47:54:922, 16,     7,      -7.87
14:47:55:000, 16,     7,      1.39
14:47:55:078, 16,     8,      -20.49
14:47:55:167, 16,     8,      8.87
14:47:55:256, 16,     8,      -6.58
14:47:55:346, 16,     9,      12.62
14:47:55:446, 16,     9,      -15.99
14:47:55:546, 16,     9,      11.89
14:47:55:647, 16,     10,     5.43
14:47:55:758, 16,     10,     12.43
14:47:55:870, 16,     10,     -1.69
14:47:55:992, 16,     11,     10.63
14:47:56:104, 16,     11,     -15.17
14:47:56:226, 16,     11,     2.74
14:47:56:349, 16,     12,     13.62
14:47:56:482, 16,     12,     -9.32
14:47:56:616, 16,     12,     -16.40
14:47:56:750, 16,     13,     10.04
14:47:56:895, 16,     13,     -11.17
14:47:57:040, 16,     13,     3.17
14:47:57:184, 16,     14,     -5.89
14:47:57:341, 16,     14,     -17.71
14:47:57:500, 16,     14,     8.19
14:47:57:652, 16,     15,     6.43
14:47:57:820, 16,     15,     3.78
14:47:57:987, 16,     15,     4.41
14:47:58:154, 
14:47:58:154, 32,     1,      -28.68
14:47:58:186, 32,     1,      14.78
14:47:58:218, 32,     1,      1.56
14:47:58:250, 32,     2,      -12.86
14:47:58:288, 32,     2,      -9.04
14:47:58:321, 32,     2,      -0.78
14:47:58:365, 32,     3,      18.84
14:47:58:399, 32,     3,      13.97
14:47:58:444, 32,     3,      1.63
14:47:58:488, 32,     4,      -19.16
14:47:58:544, 32,     4,      11.91
14:47:58:600, 32,     4,      13.08
14:47:58:656, 32,     5,      -6.56
14:47:58:722, 32,     5,      3.09
14:47:58:789, 32,     5,      10.26
14:47:58:856, 32,     6,      10.60
14:47:58:934, 32,     6,      1.59
14:47:59:012, 32,     6,      -9.71
14:47:59:090, 32,     7,      -3.19
14:47:59:179, 32,     7,      10.71
14:47:59:269, 32,     7,      -2.24
14:47:59:358, 32,     8,      -6.97
14:47:59:458, 32,     8,      -4.26
14:47:59:559, 32,     8,      18.34
14:47:59:659, 32,     9,      -8.06
14:47:59:770, 32,     9,      8.41
14:47:59:881, 32,     9,      -7.54
14:47:59:993, 32,     10,     19.47
14:48:00:116, 32,     10,     -6.54
14:48:00:238, 32,     10,     6.74
14:48:00:361, 32,     11,     -8.84
14:48:00:509, 32,     11,     -22.05
14:48:00:628, 32,     11,     12.65
14:48:00:762, 32,     12,     1.93
14:48:00:907, 32,     12,     11.21
14:48:01:052, 32,     12,     -8.84
14:48:01:197, 32,     13,     7.24
14:48:01:353, 32,     13,     -10.60
14:48:01:509, 32,     13,     8.73
14:48:01:665, 32,     14,     -6.80
14:48:01:832, 32,     14,     -1.28
14:48:02:027, 32,     14,     19.06
14:48:02:167, 32,     15,     3.15
14:48:02:344, 32,     15,     6.15
14:48:02:540, 32,     15,     -0.93
14:48:02:701, 
14:48:02:701, 64,     1,      21.38
14:48:02:765, 64,     1,      -27.64
14:48:02:829, 64,     1,      1.74
14:48:02:893, 64,     2,      -15.56
14:48:02:958, 64,     2,      7.47
14:48:03:025, 64,     2,      49.02
14:48:03:091, 64,     3,      43.98
14:48:03:169, 64,     3,      -54.41
14:48:03:248, 64,     3,      -2.96
14:48:03:325, 64,     4,      -8.56
14:48:03:414, 64,     4,      27.51
14:48:03:504, 64,     4,      14.30
14:48:03:596, 64,     5,      11.34
14:48:03:693, 64,     5,      19.95
14:48:03:793, 64,     5,      7.87
14:48:03:893, 64,     6,      7.24
14:48:04:005, 64,     6,      7.56
14:48:04:127, 64,     6,      -24.60
14:48:04:228, 64,     7,      -3.63
14:48:04:351, 64,     7,      -8.56
14:48:04:473, 64,     7,      -13.34
14:48:04:596, 64,     8,      15.84
14:48:04:730, 64,     8,      13.17
14:48:04:863, 64,     8,      9.97
14:48:04:997, 64,     9,      -21.99
14:48:05:142, 64,     9,      -0.48
14:48:05:287, 64,     9,      16.12
14:48:05:432, 64,     10,     -10.00
14:48:05:588, 64,     10,     -1.35
14:48:05:744, 64,     10,     6.02
14:48:05:900, 64,     11,     -2.98
14:48:06:067, 64,     11,     18.90
14:48:06:234, 64,     11,     12.56
14:48:06:401, 64,     12,     0.37
14:48:06:579, 64,     12,     17.69
14:48:06:758, 64,     12,     25.10
14:48:06:936, 64,     13,     8.78
14:48:07:126, 64,     13,     11.34
14:48:07:315, 64,     13,     14.45
14:48:07:505, 64,     14,     -8.02
14:48:07:706, 64,     14,     -5.19
14:48:07:906, 64,     14,     13.97
14:48:08:106, 64,     15,     0.26
14:48:08:318, 64,     15,     22.23
14:48:08:530, 64,     15,     10.15
14:48:08:742, 
14:48:08:742, 128,    1,      -15.47
14:48:08:869, 128,    1,      -31.81
14:48:08:997, 128,    1,      37.89
14:48:09:125, 128,    2,      45.19
14:48:09:254, 128,    2,      50.41
14:48:09:388, 128,    2,      2.69
14:48:09:522, 128,    3,      13.38
14:48:09:667, 128,    3,      30.94
14:48:09:811, 128,    3,      9.32
14:48:09:956, 128,    4,      4.08
14:48:10:113, 128,    4,      28.07
14:48:10:268, 128,    4,      7.00
14:48:10:425, 128,    5,      8.24
14:48:10:592, 128,    5,      17.60
14:48:10:759, 128,    5,      3.61
14:48:10:926, 128,    6,      17.97
14:48:11:104, 128,    6,      -3.11
14:48:11:282, 128,    6,      3.65
14:48:11:461, 128,    7,      8.32
14:48:11:650, 128,    7,      -7.95
14:48:11:840, 128,    7,      10.76
14:48:12:029, 128,    8,      -10.13
14:48:12:230, 128,    8,      15.97
14:48:12:431, 128,    8,      -10.45
14:48:12:631, 128,    9,      -1.11
14:48:12:843, 128,    9,      -13.47
14:48:13:055, 128,    9,      7.89
14:48:13:266, 128,    10,     7.50
14:48:13:489, 128,    10,     16.73
14:48:13:713, 128,    10,     -1.24
14:48:13:935, 128,    11,     10.39
14:48:14:169, 128,    11,     10.82
14:48:14:403, 128,    11,     14.25
14:48:14:637, 128,    12,     -7.95
14:48:14:882, 128,    12,     25.27
14:48:15:128, 128,    12,     23.94
14:48:15:373, 128,    13,     0.76
14:48:15:629, 128,    13,     25.79
14:48:15:885, 128,    13,     5.48
14:48:16:142, 128,    14,     13.78
14:48:16:409, 128,    14,     5.08
14:48:16:677, 128,    14,     12.41
14:48:16:944, 128,    15,     -9.82
14:48:17:223, 128,    15,     -0.07
14:48:17:501, 128,    15,     16.30
14:48:17:780, 
14:48:17:780, 256,    1,      -5.91
14:48:18:036, 256,    1,      12.34
14:48:18:292, 256,    1,      5.91
14:48:18:548, 256,    2,      43.02
14:48:18:806, 256,    2,      12.86
14:48:19:062, 256,    2,      3.22
14:48:19:318, 256,    3,      -47.87
14:48:19:586, 256,    3,      -0.07
14:48:20:109, 256,    3,      8.87
14:48:20:377, 256,    4,      5.21
14:48:20:655, 256,    4,      13.60
14:48:20:934, 256,    4,      19.82
14:48:21:213, 256,    5,      15.88
14:48:21:503, 256,    5,      5.84
14:48:21:792, 256,    5,      -4.98
14:48:22:082, 256,    6,      4.19
14:48:22:383, 256,    6,      3.93
14:48:22:684, 256,    6,      31.61
14:48:22:985, 256,    7,      17.27
14:48:23:297, 256,    7,      32.29
14:48:23:609, 256,    7,      3.43
14:48:23:921, 256,    8,      10.19
14:48:24:244, 256,    8,      5.11
14:48:24:567, 256,    8,      16.27
14:48:24:891, 256,    9,      -1.17
14:48:25:225, 256,    9,      22.84
14:48:25:559, 256,    9,      16.10
14:48:25:894, 256,    10,     6.74
14:48:26:239, 256,    10,     27.49
14:48:26:590, 256,    10,     19.77
14:48:26:930, 256,    11,     -0.61
14:48:27:287, 256,    11,     30.51
14:48:27:656, 256,    11,     20.47
14:48:28:000, 256,    12,     8.17
14:48:28:368, 256,    12,     8.84
14:48:28:735, 256,    12,     12.23
14:48:29:104, 256,    13,     -1.09
14:48:29:482, 256,    13,     23.01
14:48:29:861, 256,    13,     10.28
14:48:30:244, 256,    14,     -5.74
14:48:30:630, 256,    14,     25.16
14:48:31:020, 256,    14,     14.47
14:48:31:411, 256,    15,     9.30
14:48:31:812, 256,    15,     14.49
14:48:32:213, 256,    15,     2.85
14:48:32:613, 